,age,job,marital,education,default,balance,ratio_bal_ln,ratio_ln_inc,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
93,52,technician,married,secondary,no,195,1.0729103717329214,0.11381815131571138,yes,no,cellular,17,dec,110,2,205,3,failure,no
94,31,management,single,tertiary,no,596,0.6332841106148155,0.03203832911204085,no,no,cellular,17,dec,184,6,196,2,failure,no
95,29,services,married,secondary,no,399,1.086637148578137,-1.1540493042034732,no,no,cellular,18,dec,454,6,199,1,failure,no
96,44,blue-collar,married,secondary,no,1025,1.1762114876568095,-0.316205200743345,yes,no,cellular,21,dec,116,2,202,1,failure,no
97,40,admin.,single,secondary,no,782,-0.5316401954297342,-1.5648363352015713,yes,no,cellular,21,dec,94,5,202,17,failure,no
98,49,technician,married,secondary,no,905,-0.27775165226073195,-0.3213295994649573,no,no,cellular,21,dec,385,7,131,2,failure,no
99,48,self-employed,married,secondary,no,1559,0.1664186603977782,0.9681304318966726,no,no,cellular,24,dec,520,3,133,3,failure,no
100,59,management,married,tertiary,no,2764,0.6727640249405599,-1.3598038972975703,no,no,cellular,24,dec,237,1,206,2,failure,no
101,49,housemaid,married,secondary,no,3570,-0.03299733982372333,0.8676231219517245,no,no,cellular,24,dec,62,3,202,2,failure,no
102,32,management,single,tertiary,no,623,1.3003619193289193,1.3818965368482887,no,no,telephone,24,dec,273,1,203,1,failure,no
103,47,technician,married,secondary,no,3519,-0.06936897494025307,-1.493513406427956,no,yes,cellular,28,dec,193,1,220,1,failure,no
104,35,technician,single,tertiary,no,7546,0.8221780027050245,0.45228873973701544,yes,no,cellular,28,dec,137,1,122,3,failure,no
105,36,technician,married,tertiary,no,629,1.589273529184796,-1.4719458796151617,yes,yes,cellular,29,dec,109,1,246,1,failure,no
106,30,management,single,tertiary,no,2907,0.34703355256792995,-0.42805243732988185,yes,no,cellular,30,dec,146,2,218,1,failure,no
107,40,admin.,married,secondary,no,3126,1.477818553020628,1.435994421628461,yes,no,cellular,30,dec,110,3,232,2,failure,no
108,33,management,married,tertiary,no,1071,0.8328676255215182,-0.5309792249863647,no,no,cellular,2,feb,84,2,174,4,failure,no
109,36,technician,single,secondary,no,265,0.6554255150839063,0.565872089457026,yes,yes,cellular,2,feb,88,1,273,1,failure,no
110,53,services,married,secondary,no,660,-0.08254229197013763,-0.804928801731058,no,no,cellular,2,feb,210,1,272,2,failure,no
111,44,blue-collar,married,secondary,no,294,1.2119631226501617,-1.094450857172304,yes,no,cellular,2,feb,246,1,259,2,failure,no
112,31,management,single,tertiary,no,1130,0.9373232376065422,-0.8815452480821488,yes,no,cellular,2,feb,181,1,264,3,failure,no
113,46,technician,married,secondary,no,363,1.1088299880642136,1.0242698988344823,yes,no,cellular,2,feb,346,1,180,3,failure,no
114,47,technician,married,secondary,no,349,0.7661989001805813,-0.0886319671673691,yes,yes,cellular,2,feb,112,1,273,1,failure,no
115,37,blue-collar,married,primary,no,89,0.9127063817265985,1.8952588166153148,yes,no,cellular,2,feb,393,1,245,4,failure,no
116,32,admin.,single,secondary,no,1,0.4704220211155665,1.7013006479055113,no,no,cellular,2,feb,75,1,208,1,failure,no
117,46,services,divorced,secondary,no,-179,1.0775923418885958,0.815285570058665,no,no,cellular,2,feb,151,1,214,2,failure,no
118,47,technician,divorced,secondary,no,129,1.0477777794933227,1.1584783779927559,no,no,cellular,2,feb,110,2,222,2,failure,no
119,38,blue-collar,married,secondary,no,757,0.41320309788375775,-0.7332542457278403,yes,no,cellular,2,feb,133,1,272,1,failure,no
120,56,services,divorced,secondary,no,218,1.5768393377891614,1.1229813401342423,yes,no,cellular,2,feb,113,2,249,2,failure,no
121,37,blue-collar,married,secondary,no,520,0.22668043575244978,-1.4214149064135237,yes,no,cellular,2,feb,54,1,255,2,failure,no
122,55,housemaid,married,secondary,no,5,1.3906626282619974,-0.5586446663344682,no,no,cellular,2,feb,269,1,206,2,failure,no
123,45,admin.,married,secondary,no,1097,0.7057869315991235,-0.018669846094918063,yes,yes,cellular,2,feb,174,1,208,1,failure,no
124,39,blue-collar,married,,no,0,0.19304270216859581,-0.14019868226588006,no,no,cellular,2,feb,731,1,193,3,failure,no
125,52,technician,married,secondary,no,279,1.1346264978884646,-0.5165561491023059,no,yes,cellular,2,feb,72,1,203,3,failure,no
126,36,blue-collar,single,primary,no,367,-0.5309172946853145,2.1537687628220294,no,no,cellular,2,feb,217,1,221,1,failure,no
127,39,services,single,tertiary,no,1222,-0.0912946332845812,-1.136577783039113,yes,no,cellular,2,feb,251,1,242,2,failure,no
128,53,self-employed,married,tertiary,no,451,1.4453250761331908,0.20058060189595356,yes,no,cellular,2,feb,125,1,249,2,failure,no
129,26,technician,single,secondary,no,3244,-1.3213387975642892,-1.8053610483033524,no,no,cellular,2,feb,141,1,5,1,failure,no
130,51,technician,married,secondary,no,1490,0.4285324971044975,0.15567576214546475,yes,no,cellular,2,feb,177,1,199,2,failure,no
131,47,admin.,divorced,secondary,no,207,-0.158043057285167,-2.101371112076314,yes,no,cellular,2,feb,244,1,271,4,failure,no
132,49,blue-collar,single,secondary,no,-367,0.25223271685152615,-1.4023614237204118,yes,no,cellular,2,feb,98,1,207,1,failure,no
133,37,admin.,divorced,secondary,no,506,0.3849728825214506,1.2331167302885988,yes,no,cellular,2,feb,446,2,273,1,failure,no
134,40,blue-collar,married,secondary,no,123,0.4631506305837091,-0.7290164694197636,yes,no,cellular,2,feb,247,1,241,3,failure,no
135,45,self-employed,married,tertiary,no,430,0.7771603914413338,-0.7727195157619356,yes,no,cellular,2,feb,221,1,206,2,failure,no
136,48,blue-collar,married,secondary,no,578,0.8714896147509144,0.37964720191419216,yes,no,cellular,2,feb,70,1,250,1,failure,no
137,45,housemaid,divorced,primary,no,221,0.15454046002672034,0.32213869659001726,no,no,cellular,2,feb,93,1,235,1,failure,no
138,58,blue-collar,divorced,secondary,no,1103,0.5524796232441647,1.0025301018026385,yes,no,cellular,2,feb,226,1,202,4,failure,no
139,60,technician,married,secondary,no,358,0.826870488344149,-0.3311856079354458,no,no,cellular,2,feb,95,1,216,2,failure,no
140,40,unemployed,single,tertiary,no,97,1.7975279911652287,-1.5064777395856301,yes,yes,cellular,2,feb,73,1,252,1,failure,no
141,36,technician,divorced,secondary,no,-94,0.15079787036930015,-1.4364216948944688,yes,no,cellular,2,feb,185,1,252,2,failure,no
142,54,services,married,secondary,no,514,1.3683474750585485,0.24397766969489276,yes,no,cellular,2,feb,109,1,186,3,failure,no
143,40,unemployed,divorced,secondary,no,507,-0.2919857915180759,-0.6178750430992491,yes,no,cellular,2,feb,134,1,266,7,failure,no
144,39,technician,single,secondary,no,614,0.5083970688022565,-0.032482053921361165,yes,no,cellular,2,feb,166,1,258,1,failure,no
145,31,technician,single,secondary,no,44,1.1373837248037986,0.5744375907089112,no,no,cellular,2,feb,200,5,175,2,failure,no
146,32,services,married,secondary,no,289,-1.1337909857189907,-1.0611875836161626,yes,no,cellular,2,feb,63,1,257,2,failure,no
147,47,entrepreneur,married,secondary,no,583,1.0853391483809416,0.3543682552055516,yes,no,cellular,2,feb,495,1,258,2,failure,no
148,34,blue-collar,married,secondary,no,-271,-0.32239699227617696,0.17443970434205447,yes,yes,cellular,2,feb,90,1,252,2,failure,no
149,38,services,married,secondary,no,304,0.9912406178010325,1.1064752991453828,no,yes,cellular,2,feb,238,1,214,1,failure,no
150,38,technician,married,tertiary,no,447,0.8898720237917042,0.13329259379593783,yes,no,cellular,2,feb,224,1,269,1,failure,no
151,40,retired,married,primary,no,407,1.6104727183364105,-0.006946274004873576,yes,no,cellular,2,feb,200,1,271,1,failure,no
152,56,technician,married,secondary,no,778,-0.5473196050274182,1.2560795516483871,no,no,cellular,2,feb,315,2,208,1,failure,no
153,36,unemployed,married,secondary,no,533,-0.5966799833734977,1.58241793440132,yes,no,cellular,2,feb,619,1,272,1,failure,no
154,56,blue-collar,married,secondary,no,659,-0.29542494719459156,-0.2270596209433804,yes,no,cellular,2,feb,148,1,188,3,failure,no
155,37,services,single,secondary,no,174,0.2701068107079717,0.13715022117991915,yes,no,cellular,2,feb,134,1,271,2,failure,no
156,53,management,married,secondary,no,478,-0.6266143416464885,-1.439942719541159,yes,no,cellular,2,feb,66,1,264,2,failure,no
157,45,services,married,secondary,no,-75,0.1340242952627263,-1.2336466425468167,yes,no,cellular,2,feb,134,1,252,1,failure,no
158,48,services,married,secondary,no,51,-0.641815536886562,0.33318654920119894,yes,yes,cellular,2,feb,90,1,262,1,failure,no
159,47,admin.,single,secondary,no,15,-0.06256061675692803,-0.18211168950185963,no,no,cellular,2,feb,71,1,266,4,failure,no
160,53,management,married,primary,no,798,-0.1703235501993322,-0.7555150999788226,yes,no,telephone,2,feb,45,1,217,2,failure,no
161,54,self-employed,married,secondary,no,534,-0.3910016183185103,0.7364988060212774,yes,no,cellular,2,feb,165,1,188,4,failure,no
162,38,services,single,secondary,no,-196,0.7839245445594474,-0.3774682346444,yes,no,cellular,2,feb,60,1,271,1,failure,no
163,54,technician,married,secondary,no,719,0.2398083771394085,-0.43947851602679633,yes,no,cellular,2,feb,242,1,264,1,failure,no
164,31,services,married,secondary,no,442,-0.19686249170675152,0.7371282877729789,yes,no,cellular,2,feb,69,1,270,2,failure,no
165,42,management,single,tertiary,no,336,1.7971404990043998,-0.027653845335495197,yes,no,cellular,2,feb,142,6,195,3,failure,no
166,38,services,married,secondary,no,8876,0.9658793227761012,0.7208553494272829,no,no,cellular,2,feb,280,1,75,1,failure,no
167,31,admin.,single,tertiary,no,5,0.34681229223970556,-0.05007525346591479,no,yes,cellular,2,feb,75,1,206,1,failure,no
168,26,management,single,tertiary,no,0,-0.22678683534038924,-0.015905225381738664,no,yes,cellular,2,feb,145,1,199,1,failure,no
169,37,management,married,secondary,no,10,-0.0932846463199879,-0.7272563021867446,no,yes,cellular,2,feb,164,1,250,2,failure,no
170,38,self-employed,married,secondary,no,290,0.7428701156914324,-0.7881521860484307,yes,no,cellular,2,feb,123,1,258,1,failure,no
171,55,management,married,primary,no,621,0.7535155378434569,-0.29526248654851245,no,yes,cellular,2,feb,114,1,208,1,failure,no
172,33,management,single,tertiary,no,474,-0.09646393090224958,2.0748684466896474,yes,no,cellular,2,feb,62,1,179,3,failure,no
173,40,technician,married,secondary,no,504,0.9965129313463235,0.45846274047465535,yes,no,cellular,2,feb,96,1,266,1,failure,no
174,34,admin.,married,secondary,no,50,1.198750323432207,-0.4429090764755469,yes,no,cellular,2,feb,173,1,258,2,failure,no
175,39,management,single,tertiary,no,-145,1.2660758084293369,0.06289791952693419,yes,no,cellular,2,feb,268,2,196,2,failure,no
176,45,management,married,tertiary,no,474,1.3445870507900102,0.8033478691820967,yes,yes,cellular,2,feb,190,4,264,4,failure,no
177,60,retired,married,primary,no,174,0.9829849839959485,-1.5808762526659499,yes,yes,cellular,2,feb,157,2,252,1,failure,no
178,57,admin.,married,secondary,no,11,0.20779985466621254,0.353087796581002,no,no,cellular,2,feb,261,1,265,3,failure,no
179,49,admin.,married,secondary,no,359,0.4381771589559499,0.24636747211913734,yes,no,cellular,2,feb,231,2,271,1,failure,no
180,37,management,married,tertiary,no,59,1.17537518071908,0.7028618383994644,yes,yes,telephone,2,feb,319,1,213,1,failure,no
181,48,admin.,single,secondary,no,303,0.7823721739110815,-1.2516021134342954,yes,yes,cellular,2,feb,142,1,189,4,failure,no
182,49,self-employed,married,tertiary,no,147,1.9077593366023184,-0.5260114457044182,no,yes,cellular,2,feb,559,1,189,4,failure,no
183,35,services,married,secondary,no,630,0.24088288585213408,0.8155022122270924,yes,no,cellular,2,feb,134,1,271,2,failure,no
184,43,blue-collar,married,secondary,no,1109,0.21983808873775612,-0.32310634821298434,yes,no,cellular,2,feb,115,3,264,2,failure,no
185,48,blue-collar,divorced,secondary,yes,-535,0.0022742572776653924,0.9974580210014083,yes,no,cellular,2,feb,115,2,187,2,failure,no
186,43,blue-collar,married,secondary,no,597,0.2000194513110175,-1.1258627222651163,yes,no,cellular,2,feb,87,1,263,1,failure,no
187,38,technician,single,secondary,no,103,1.0796158157999427,0.48399479506880727,yes,no,cellular,2,feb,159,1,187,3,failure,no
188,31,management,single,secondary,no,783,0.23142282637552197,0.14466609811304498,yes,no,cellular,2,feb,221,2,272,1,failure,no
189,32,management,single,secondary,no,453,0.19842452806437627,-0.37188792957815314,yes,no,cellular,2,feb,544,1,269,2,failure,no
190,37,technician,married,secondary,no,494,-0.17328897853337288,0.3504349020595595,yes,no,cellular,2,feb,247,2,269,3,failure,no
191,60,services,married,secondary,no,292,-0.1810546249658232,0.6704511319069746,no,yes,cellular,2,feb,260,5,195,4,failure,no
192,32,admin.,single,tertiary,no,2004,1.3968325179460424,0.7599341121792449,no,no,cellular,2,feb,141,1,75,1,failure,no
193,37,management,single,tertiary,no,230,1.2988726106456179,0.3112660664688862,yes,yes,cellular,2,feb,120,2,272,1,failure,no
194,45,admin.,married,secondary,no,1214,2.8864115332017,0.5448176457073876,yes,no,cellular,2,feb,150,2,189,2,failure,no
195,35,technician,married,tertiary,no,1526,1.493404473582109,-0.8515384369358031,yes,no,cellular,2,feb,236,2,217,4,failure,no
196,56,entrepreneur,married,secondary,no,5838,0.37327873369502024,0.6497856605429553,no,no,cellular,2,feb,116,2,230,2,failure,no
197,31,technician,married,secondary,no,671,1.3165005340049383,-0.7396380403175209,no,no,cellular,2,feb,119,2,175,2,failure,no
198,57,technician,married,secondary,no,589,1.1058921275400873,-0.1758024437754066,yes,no,cellular,2,feb,223,1,76,4,failure,no
199,29,admin.,single,secondary,no,-498,-0.37948014088562054,1.2329167089765527,yes,no,cellular,2,feb,99,3,227,14,failure,no
200,38,admin.,single,secondary,no,569,1.7276620357933328,1.4830158331074252,yes,yes,cellular,2,feb,164,2,272,2,failure,no
201,34,technician,married,secondary,no,4,1.2461421827138306,-0.2729651400271912,yes,no,cellular,2,feb,105,2,263,1,failure,no
202,42,management,married,tertiary,no,477,0.2953818360476091,0.15815368018826875,yes,no,cellular,2,feb,413,2,242,3,failure,no
203,53,technician,married,secondary,no,598,0.920833168311108,0.825095865702788,no,no,cellular,2,feb,340,3,264,2,failure,no
204,57,retired,married,secondary,no,485,1.7344873058073613,-0.5974188965109416,no,no,cellular,2,feb,79,2,187,2,failure,no
205,41,blue-collar,divorced,primary,no,320,0.6612350583472262,-0.6703751905296141,yes,no,cellular,2,feb,844,2,252,1,failure,no
206,38,technician,married,secondary,no,581,0.42240545039053345,-0.9256134174341203,yes,no,cellular,2,feb,223,2,272,1,failure,no
207,46,blue-collar,married,secondary,no,-221,2.3281293955904916,0.8414928842708543,yes,yes,cellular,2,feb,219,2,244,1,failure,no
208,46,technician,married,secondary,no,317,0.3181537511445698,-0.08645556210736427,yes,yes,cellular,2,feb,24,7,250,1,failure,no
209,37,management,married,,no,247,-0.6366953326820654,-0.8280577213075765,no,no,cellular,2,feb,192,2,208,1,failure,no
210,35,admin.,married,secondary,no,287,0.2787046553681229,1.4021499778823907,yes,no,cellular,2,feb,115,3,245,8,failure,no
211,58,retired,divorced,secondary,no,8266,-0.29799340756223236,-0.1853924107613679,yes,no,cellular,2,feb,98,2,271,1,failure,no
212,46,technician,married,secondary,no,1028,0.771978487162152,-0.28590337107700126,yes,no,cellular,2,feb,96,2,208,1,failure,no
213,35,admin.,married,secondary,no,220,-0.22471661529982523,0.4503331430341308,yes,no,cellular,2,feb,153,4,244,13,failure,no
214,37,technician,married,secondary,no,318,1.4315738977230514,-0.8893355580006891,no,no,cellular,2,feb,167,1,187,2,failure,no
215,31,management,single,tertiary,no,112,1.3712247207626032,-0.12953986942244816,yes,no,cellular,2,feb,159,2,271,1,failure,no
216,45,technician,married,secondary,no,0,0.5743195088523756,-1.3699959176576821,yes,yes,telephone,2,feb,111,2,208,1,failure,no
217,42,services,married,primary,no,124,0.673522419935986,0.13621204293404782,yes,no,cellular,2,feb,164,2,262,2,failure,no
